source,name,n,capacity,bf_time,dp_time,gr_time,bf_val,dp_val,gr_val,gr_ratio
jooken,jooken/n_1200_c_100000000_g_2_f_0.2_eps_0.001_s_200,1200,100000000,,,0.00021712499437853694,,,50124269,
jooken,jooken/n_1200_c_100000000_g_2_f_0.3_eps_0.0001_s_100,1200,100000000,,,0.0002221670001745224,,,50028006,
jooken,jooken/n_1200_c_1000000_g_14_f_0.2_eps_0.1_s_300,1200,1000000,,86.02623129100539,0.0002169579965993762,,1015541,956578,0.9419393210121502
jooken,jooken/n_1200_c_1000000_g_14_f_0.2_eps_1e-05_s_200,1200,1000000,,93.29815637500724,0.00022066599922254682,,1030859,1030843,0.9999844789636604
jooken,jooken/n_1200_c_1000000_g_2_f_0.1_eps_0.0001_s_200,1200,1000000,,55.53731445899757,0.00022029200044926256,,511476,511468,0.9999843589924063
jooken,jooken/n_1200_c_1000000_g_2_f_0.1_eps_0.01_s_300,1200,1000000,,53.99375283300469,0.0002197079884354025,,528902,528895,0.9999867650339761
jooken,jooken/n_1200_c_1000000_g_2_f_0.2_eps_0.1_s_300,1200,1000000,,51.544072583012166,0.00021145801292732358,,636624,636623,0.9999984292141044
jooken,jooken/n_1200_c_1000000_g_6_f_0.1_eps_0_s_100,1200,1000000,,82.26310450000165,0.0002089589979732409,,977173,976725,0.9995415346105552
jooken,jooken/n_1200_c_1000000_g_6_f_0.1_eps_1e-05_s_200,1200,1000000,,82.59870741699706,0.00021512499370146543,,986769,985953,0.9991730587401915
synthetic-shared,synthetic/shared_n5,5,46,2.9999937396496534e-06,9.292009053751826e-06,1.333013642579317e-06,61,61,61,1.0
synthetic-shared,synthetic/shared_n8,8,62,2.5709014153108e-05,2.7750007575377822e-05,1.6249832697212696e-06,302,302,302,1.0
synthetic-shared,synthetic/shared_n10,10,84,0.00011324998922646046,4.9124995712190866e-05,2.040993422269821e-06,356,356,333,0.9353932584269663
synthetic-shared,synthetic/shared_n12,12,121,0.0003554580034688115,8.449997403658926e-05,2.167013008147478e-06,329,329,329,1.0
synthetic-shared,synthetic/shared_n15,15,153,0.0027881250134669244,0.00013237498933449388,2.70901364274323e-06,522,522,520,0.9961685823754789
synthetic-shared,synthetic/shared_n18,18,166,0.037124916998436674,0.0004214579821564257,8.000002708286047e-06,577,577,554,0.9601386481802426
synthetic-shared,synthetic/shared_n20,20,174,0.07030225000926293,0.00021999998716637492,3.374996595084667e-06,949,949,949,1.0
synthetic-large,synthetic/large_n50,50,473,,0.0017737919988576323,8.000002708286047e-06,,2005,1991,0.9930174563591022
synthetic-large,synthetic/large_n100,100,986,,0.008363917004317045,1.6375008272007108e-05,,3705,3698,0.998110661268556
synthetic-large,synthetic/large_n200,200,2073,,0.03465195800526999,3.387502511031926e-05,,7117,7117,1.0
synthetic-large,synthetic/large_n300,300,3070,,0.07231566699920222,5.1834009354934096e-05,,10602,10599,0.9997170345217884
synthetic-large,synthetic/large_n500,500,4971,,0.19709300002432428,9.187500108964741e-05,,18982,18977,0.9997365925613739
synthetic-large,synthetic/large_n750,750,7651,,0.4827656669949647,0.00014250000822357833,,28049,28046,0.9998930443153053
synthetic-large,synthetic/large_n1000,1000,10334,,0.8253440000116825,0.00019325001630932093,,36613,36613,1.0
synthetic-edge,edge/n1_cap0,1,0,3.33995558321476e-07,6.249756552278996e-07,8.33999365568161e-07,0,0,0,
synthetic-edge,edge/n1_exact,1,5,5.840265657752752e-07,5.409820005297661e-07,7.499766070395708e-07,10,10,10,1.0
synthetic-edge,edge/cap_equals_sum,3,18,1.7499842215329409e-06,3.7080026231706142e-06,1.0830117389559746e-06,33,33,33,1.0
synthetic-edge,edge/cap_less_than_min,3,4,4.1601015254855156e-07,5.420006345957518e-07,9.169743862003088e-07,0,0,0,
synthetic-edge,edge/greedy_failure_classic,3,50,1.500011421740055e-06,7.125025149434805e-06,9.170034900307655e-07,220,220,160,0.7272727272727273
synthetic-edge,edge/many_equal_items,4,2,2.374988980591297e-06,1.333013642579317e-06,1.0420044418424368e-06,2,2,2,1.0
